path,expected_label,gmm_label,kmeans_label
/content/Processed/35/00035_00033_00019.png,35,16,6
/content/Processed/35/00035_00013_00009.png,35,21,40
/content/Processed/35/00035_00016_00002.png,35,29,38
/content/Processed/35/00035_00019_00024.png,35,16,11
/content/Processed/35/00035_00030_00022.png,35,14,40
/content/Processed/35/00035_00003_00017.png,35,16,30
/content/Processed/35/00035_00016_00003.png,35,29,38
/content/Processed/35/00035_00036_00004.png,35,24,38
/content/Processed/35/00035_00034_00008.png,35,18,33
/content/Processed/35/00035_00019_00006.png,35,24,17
/content/Processed/35/00035_00022_00020.png,35,29,38
/content/Processed/35/00035_00015_00018.png,35,16,39
/content/Processed/35/00035_00017_00021.png,35,16,3
/content/Processed/35/00035_00024_00006.png,35,24,38
/content/Processed/35/00035_00010_00026.png,35,38,0
/content/Processed/35/00035_00004_00018.png,35,16,15
/content/Processed/35/00035_00036_00013.png,35,16,17
/content/Processed/35/00035_00039_00019.png,35,16,38
/content/Processed/35/00035_00017_00013.png,35,16,6
/content/Processed/35/00035_00033_00023.png,35,16,17
/content/Processed/35/00035_00016_00012.png,35,29,38
/content/Processed/35/00035_00014_00025.png,35,29,38
/content/Processed/35/00035_00021_00012.png,35,24,38
/content/Processed/35/00035_00039_00014.png,35,16,15
/content/Processed/35/00035_00034_00025.png,35,16,3
/content/Processed/35/00035_00029_00010.png,35,29,38
/content/Processed/35/00035_00021_00026.png,35,16,19
/content/Processed/35/00035_00003_00029.png,35,16,40
/content/Processed/35/00035_00012_00009.png,35,21,30
/content/Processed/35/00035_00019_00007.png,35,16,17
/content/Processed/35/00035_00023_00025.png,35,10,36
/content/Processed/35/00035_00026_00009.png,35,24,38
/content/Processed/35/00035_00005_00000.png,35,11,31
/content/Processed/35/00035_00003_00016.png,35,21,30
/content/Processed/35/00035_00021_00010.png,35,24,38
/content/Processed/35/00035_00014_00005.png,35,24,17
/content/Processed/35/00035_00008_00024.png,35,38,0
/content/Processed/35/00035_00002_00028.png,35,16,3
/content/Processed/35/00035_00010_00020.png,35,16,11
/content/Processed/35/00035_00031_00025.png,35,29,38
/content/Processed/35/00035_00003_00009.png,35,21,30
/content/Processed/35/00035_00001_00013.png,35,16,11
/content/Processed/35/00035_00034_00017.png,35,16,15
/content/Processed/35/00035_00005_00006.png,35,32,36
/content/Processed/35/00035_00036_00008.png,35,16,17
/content/Processed/35/00035_00003_00006.png,35,21,30
/content/Processed/35/00035_00014_00017.png,35,29,38
/content/Processed/35/00035_00024_00000.png,35,24,38
/content/Processed/35/00035_00031_00008.png,35,29,38
/content/Processed/35/00035_00012_00002.png,35,21,30
/content/Processed/35/00035_00004_00008.png,35,24,17
/content/Processed/35/00035_00004_00007.png,35,24,17
/content/Processed/35/00035_00027_00025.png,35,38,3
/content/Processed/35/00035_00002_00019.png,35,16,38
/content/Processed/35/00035_00020_00027.png,35,16,24
/content/Processed/35/00035_00005_00013.png,35,16,28
/content/Processed/35/00035_00035_00023.png,35,29,38
/content/Processed/35/00035_00000_00026.png,35,29,38
/content/Processed/35/00035_00027_00019.png,35,38,31
/content/Processed/35/00035_00027_00012.png,35,16,2
/content/Processed/35/00035_00034_00012.png,35,18,33
/content/Processed/35/00035_00013_00015.png,35,21,40
/content/Processed/35/00035_00001_00004.png,35,33,19
/content/Processed/35/00035_00032_00012.png,35,24,33
/content/Processed/35/00035_00004_00017.png,35,16,15
/content/Processed/35/00035_00031_00019.png,35,29,38
/content/Processed/35/00035_00007_00020.png,35,16,3
/content/Processed/35/00035_00027_00003.png,35,11,18
/content/Processed/35/00035_00005_00029.png,35,16,15
/content/Processed/35/00035_00032_00007.png,35,16,33
/content/Processed/35/00035_00018_00005.png,35,16,33
/content/Processed/35/00035_00011_00028.png,35,16,24
/content/Processed/35/00035_00028_00018.png,35,16,3
/content/Processed/35/00035_00035_00026.png,35,29,38
/content/Processed/35/00035_00009_00026.png,35,24,18
/content/Processed/35/00035_00008_00012.png,35,16,33
/content/Processed/35/00035_00028_00021.png,35,16,36
/content/Processed/35/00035_00031_00021.png,35,16,1
/content/Processed/35/00035_00030_00017.png,35,21,30
/content/Processed/35/00035_00022_00026.png,35,29,38
/content/Processed/35/00035_00016_00028.png,35,16,38
/content/Processed/35/00035_00037_00002.png,35,16,36
/content/Processed/35/00035_00034_00005.png,35,18,33
/content/Processed/35/00035_00000_00016.png,35,29,38
/content/Processed/35/00035_00024_00020.png,35,29,38
/content/Processed/35/00035_00008_00025.png,35,38,0
/content/Processed/35/00035_00009_00007.png,35,24,37
/content/Processed/35/00035_00013_00027.png,35,29,38
/content/Processed/35/00035_00039_00005.png,35,24,18
/content/Processed/35/00035_00027_00022.png,35,16,36
/content/Processed/35/00035_00014_00022.png,35,29,38
/content/Processed/35/00035_00025_00027.png,35,29,38
/content/Processed/35/00035_00029_00002.png,35,29,38
/content/Processed/35/00035_00031_00017.png,35,24,9
/content/Processed/35/00035_00003_00000.png,35,21,30
/content/Processed/35/00035_00007_00003.png,35,11,31
/content/Processed/35/00035_00010_00011.png,35,16,17
/content/Processed/35/00035_00003_00018.png,35,21,30
/content/Processed/35/00035_00016_00010.png,35,29,38
/content/Processed/35/00035_00004_00014.png,35,24,17
/content/Processed/35/00035_00026_00000.png,35,18,38
/content/Processed/35/00035_00018_00012.png,35,16,3
/content/Processed/35/00035_00034_00001.png,35,18,33
/content/Processed/35/00035_00023_00019.png,35,10,36
/content/Processed/35/00035_00005_00024.png,35,16,11
/content/Processed/35/00035_00036_00025.png,35,16,17
/content/Processed/35/00035_00034_00029.png,35,16,3
/content/Processed/35/00035_00011_00021.png,35,16,1
/content/Processed/35/00035_00006_00016.png,35,16,19
/content/Processed/35/00035_00004_00021.png,35,16,15
/content/Processed/35/00035_00025_00015.png,35,16,40
/content/Processed/35/00035_00035_00013.png,35,29,38
/content/Processed/35/00035_00035_00019.png,35,29,38
/content/Processed/35/00035_00037_00022.png,35,16,3
/content/Processed/35/00035_00011_00012.png,35,24,29
/content/Processed/35/00035_00028_00005.png,35,11,11
/content/Processed/35/00035_00038_00009.png,35,24,38
/content/Processed/35/00035_00008_00029.png,35,16,23
/content/Processed/35/00035_00016_00023.png,35,29,38
/content/Processed/35/00035_00012_00016.png,35,16,35
/content/Processed/35/00035_00030_00026.png,35,14,24
/content/Processed/35/00035_00010_00014.png,35,16,29
/content/Processed/35/00035_00035_00024.png,35,29,38
/content/Processed/35/00035_00008_00023.png,35,38,0
/content/Processed/35/00035_00029_00000.png,35,29,38
/content/Processed/35/00035_00007_00023.png,35,16,3
/content/Processed/35/00035_00033_00000.png,35,11,6
/content/Processed/35/00035_00010_00029.png,35,38,0
/content/Processed/35/00035_00030_00018.png,35,21,30
/content/Processed/35/00035_00025_00018.png,35,16,19
/content/Processed/35/00035_00034_00015.png,35,16,15
/content/Processed/35/00035_00008_00028.png,35,16,23
/content/Processed/35/00035_00026_00008.png,35,24,38
/content/Processed/35/00035_00025_00007.png,35,16,30
/content/Processed/35/00035_00001_00008.png,35,11,11
/content/Processed/35/00035_00009_00018.png,35,29,38
/content/Processed/35/00035_00015_00001.png,35,16,11
/content/Processed/35/00035_00025_00008.png,35,21,30
/content/Processed/35/00035_00013_00024.png,35,16,19
/content/Processed/35/00035_00010_00013.png,35,16,38
/content/Processed/35/00035_00026_00002.png,35,24,9
/content/Processed/35/00035_00003_00021.png,35,21,30
/content/Processed/35/00035_00027_00006.png,35,16,6
/content/Processed/35/00035_00015_00020.png,35,16,40
/content/Processed/35/00035_00006_00009.png,35,21,30
/content/Processed/35/00035_00004_00019.png,35,16,15
/content/Processed/35/00035_00038_00008.png,35,24,38
/content/Processed/35/00035_00023_00023.png,35,10,36
/content/Processed/35/00035_00030_00004.png,35,11,28
/content/Processed/35/00035_00007_00013.png,35,16,3
/content/Processed/35/00035_00014_00013.png,35,29,17
/content/Processed/35/00035_00011_00019.png,35,24,9
/content/Processed/35/00035_00033_00005.png,35,11,36
/content/Processed/35/00035_00001_00012.png,35,16,11
/content/Processed/35/00035_00026_00012.png,35,24,38
/content/Processed/35/00035_00032_00005.png,35,16,33
/content/Processed/35/00035_00034_00011.png,35,18,33
/content/Processed/35/00035_00009_00023.png,35,29,38
